Index,Content,Label
11,"Nicuşor Dan: Primăria Capitalei are cam 5.000 de procese noi pe an. Printre ele, litigii cu mize de zeci de milioane de euro
Primarul general al Capitalei, Nicuşor Dan, afirmă că Primăria se confruntă cu aproximativ 5.000 de noi procese în instanţă anual, el estimând că municipalitatea este implicată, în prezent, într-un număr de procese cuprins între 10.000 şi 15.000. Edilul arată că unele dintre procese au ”mize uriaşe”. Dan vorbeşte şi despre costurile acestor demersuri făcute în instanţele de judecată, scrie News.ro.
”(Primăria Capitalei - n.r.) are cam 5.000 de procese noi pe an, pe diferite teme: pe dreptul proprietăţii, pe amenzi pe care le dă Poliţia Locală, pe aşa-numitele uzucapiuni, pe fel de fel de teme. Aş zice că dacă sunt 5.000 de procese noi pe an, probabil că pe rol sunt între 10 şi 15 mii”, a afirmat Nicuşor Dan, la Antena 3, joi seară, conform News.ro.",Positive
12,"Kelemen Hunor: Ne asumăm răspunderea pentru fiecare maghiar; 9 iunie decide cum va arăta următorul deceniu
Preşedintele UDMR,Kelemen Hunor, a declarat joi seara, la Odorheiu Secuiesc, la un eveniment de lansare a campaniei electorale, că formaţiunea pe care o reprezintă şi-a asumat răspunderea pentru fiecare maghiar, punctând faptul că alegerile din 9 iunie vor decide cum va arăta următorul deceniu, scrie Agerpres.
""În iunie vor avea loc două alegeri, alegeri locale şi europarlamentare. Dar miza alegerilor din iunie este mult mai mare decât una sau alta şi este mult mai mare şi decât cele două puse laolaltă. 9 iunie defineşte alegerile din decembrie, 9 iunie decide cum va arăta următorul deceniu. Suntem aici, dragi prieteni, pentru că ne-am asumat răspunderea pentru comunitatea noastră. Ne-am asumat răspunderea pentru maghiarii din Transilvania, pentru comunitatea maghiară din Transilvania, ne-am asumat răspunderea pentru fiecare maghiar, indiferent în ce regiune a României trăieşte"", a afirmat Kelemen, potrivit traducerii oficiale.",Negative
13,"Ludovic Orban: Din păcate, astăzi în România nu este o democraţie autentică/ Dreapta Unită e doar nucleul
Preşedintele Forţa Dreptei,Ludovic Orban, a vorbit despre libertate, dar şi despre o democraţie autentică, în discursul susţinut la mitingul de la Timişoara al Alianţei Dreapta Unită. El a afirmat că Revoluţia de la Timişoara nu a învins pe deplin. ”Dreapta Unită e doar nucleul în jurul căruia se vor coagula toţi oamenii care vor să trăiască liber în România, care vor o democraţie autentică, care nu mai vor jupâni să îi calce pe gât”, a susţinut el.
”Timişoara este primul oraş care a devenit liber. Timişoara şi judeţul Timişul trebuie să rămână în mod garantat libere de PSD-ism şi libere de tot ceea ce înseamnă mecanismele de control care sunt antidemocratice, care sunt folosite de cele două formaţiuni care astăzi îşi închipuie că întreaga ţară este a lor. Începem o campanie care ar fi trebuit să fie o campanie de alegere a reprezentanţilor noştri în Parlamentul European. De o lună jumate, chiar două, nu se mai vorbeşte nimic despre alegerile pentru Parlamentul European, despre ceea ce trebuie să facă reprezentanţii României în Parlamentul European. Nu se mai vorbeşte absolut nimic despre provocările pe care le avem, ca ţară, în cadrul Uniunii Europene, nimic despre cum putem noi să fructificăm mai bine oportunităţile pe care le avem ca stat membru al UE. Se vorbeşte despre locale, cine mai candidează, cine nu mai candidează, tot felul de probleme administrative, iar dezbaterea pe marile probleme europene şi mai ales dezbaterea privitoare la România şi evoluţia României ca stat membru al UE nu mai există. Sigur, există nişte panouri care sper să dispară în care ne vorbeşte Ciucă că aduce bani europeni, ca şi cum el ar aduce bani europeni. Banii europeni vin în România pentru că România e stat membru al UE. Nu aduce nici Ciucă, nici Ciolacu niciun ban european. Ei împiedică o mulţime de bani europeni să ajungă în România”, a declarat Orban, joi seară.",Positive
14,"Nicușor Dan a făcut un calcul matematic precis: Probleme cu apa caldă vor dispărea peste fix patru ani!
Primarul general al Capitalei,Nicuşor Dan, afirmă că, într-un ritm de reabilitare a reţelei principale de termoficare a Bucureştiului de 70 de kilometri de conductă principală pe an, în următorii patru ani principalele probleme în ceea ce priveşte asigurarea căldurii şi a apei calde în reţeaua centralizată din oraş vor fi rezolvate. Edilul invocă sondaje de opinie care arată că, dacă în urmă cu doi ani principala problemă reclamtă debucureşteniera căldura, acum aceasta se situează pe locul al treilea sau al patrulea.
”Da, da, se rezolvă. În administraţia precedentă a fost o medie cam de 17 kilometri pe an, noi am avut în cei trei ani - 2021, 2022, 2023 - am avut 28, 32, 50, anul ăsta o să avem 70 (de kilometri de conductă reabilitaţi – n.r.), avem 15 şantiere mari deschise, dar vorbesc numai de reţea principală, pentru că numai acolo e problemă”, a afirmat Nicuşor Dan, joi seară, la Antena 3.",Negative
15,"The Economist: Dreapta de orientare dură a României pare puternică într-un an cu patru alegeri; Partidul AUR se aşteaptă la cel mai bun rezultat al său
Nu este clar dacă majoritatea naţionaliştilor populişti cred că Europa a fost vreodată măreaţă. Dar ”Make Europe Great Again” a fost sloganul de pe şepcile de baseball purtate la o conferinţă internaţională de dreapta de orientare dură de la Bucureşti, organizată la sfârşitul lunii aprilie de Alianţa pentru Unitatea Românilor (AUR), partidul naţionalist anti-imigraţie din ţară, arată un articol publicat de revista The Economist.
Vorbitorii au denunţat ”invadarea” Europei de către musulmani şi a Americii de către migranţii ilegali. Au existat aplauze prelungite când a fost menţionat numele lui Donald Trump şi când vorbitorii au denunţat ”ideologia” homosexuală şi trans şi birocraţii ”fără Dumnezeu” din Bruxelles.",Negative
16,"Cristian Popescu Piedone, în direct, cu Budeanu în platou: O iubesc! Unde dă ea crește! Să mă tăvălească
A fost show la România TV!Cristian Popescu Piedonea intrat în direct, în mod neașteptat, în timp ce în platou se aflau Dana Budeanu și moderatorul Victor Ciutacu. După ceBudeanua comentat ironic faptul că ar vrea ca în continuare Capitala și Sectorul 1 să fie conduse de Nicușor Dan și respectiv Clotilde Armand, Popescu Piedone a intervenit!
Nu am cunoscut-o niciodată pe doamna Dana Budeanu. Dar vă spun că o iubesc. Eu am trăit în vremea în care leagănele erau ruginite, pe vremea lui Ceaușescu. Și eu doresc această pedeapsă pentru bucureșteni. Și eu doresc ca viitorul să fie al lui Nicușor Dan. Foarte multe postări ale tale m-au inspirat să vorbesc și eu. Te-aș ruga să intervii dimineața, la prânz și seara. Unde dă Dana crește! Eu Cristian Popescu Piedone o iubesc, poate să mă tăvălească dimineața, la prânz și seara, că are simțul realității, a spus Cristian Popescu Piedone în direct la România Tv.",Negative
17,"Nicușor Dan s-a dezlănțuit pe finanțele Capitalei: Doar Ceaușescu nu avea datorii
Primarul general alCapitalei,Nicuşor Dan, susţine că nu a afirmat niciodată că Primăria Municipiului Bucureşti nu are datorii, ci nu are datorii curente, care să permită creditorilor să blocheze conturile. Edilul explică faptul că gradul de îndatorare al municipiului Bucureşti este unul foarte mic, chiar de zece ori mai mic decât al altor mari oraşe europene.
”Trebuie să facem diferenţa. Eu nu am spus niciodată că Primăria Capitalei nu are datorii. Doar Ceauşescu nu a avut datorii, în rest, toată lumea are datorii şi e bine să aibă, ca să pui banii în dezvoltare. Eu am spus că Primăria Capitalei nu mai are datorii curente, adică cum erau acele 165 de milioane către firma Otokar care ne-a făcut autobuzele. (...) Eu am spus că la sfârşitul anului 2023 nu există vreo persoană fizică sau juridică care să poată să vină să (poprească conturi – n.r.), aşa cum la început de mandat erau 3 miliarde de lei”, a afirmat Nicuşor Dan, joi seară, la Antena 3.",Negative
18,"Anunț de ultimă oră pentru fermierii din România: MADR începe plata subvenției de 100 de euro
MinisterulAgriculturiiși Dezvoltării Rurale anunță că începe plata subvenției de 100 euro pentrufermieri. MADR are în vedere o suplimentare a bugetului. Plățile vor începe din 15 mai. MADR va demara în perioada următoare plata subvenției de 100 euro/hectar, ajutorul pentru sectorul vegetal pe cadrul de criză Ucraina, respectiv 100 euro/echivalent UVM pentru sectoarele suin și avicol pentru capacitatea de producție în condiții minime de bunăstare deținută de fiecare beneficiar.
Ministrul Florin Barbu a stabilit cu echipa de conducere a MADR și cu Agenția de Plăți și Intervenție pentru Agricultură (APIA) că ținta pentru a începe aceste plăți este data de 15 mai.",Positive
19,"Alianța Dreapta Unită: miting eșuat și eveniment cu sala goală la Timișoara
Campania electorală a început cu un eșec major pentruAlianța Dreapta Unită. Mitingul organizat la Timișoara, cu ocazia Zilei Europei, a fost un fiasco total, departe de ce își doreau liderii celor trei partide care fac parte din Alianță: USR, PMP și Forța Dreptei.
Sala Olimpia dinTimișoara, locul unde s-a desfășurat evenimentul, a fost pe jumătate goală, organizatorii nereușind să găsească și să aducă oameni pentru a umple amfiteatrul.",Negative
20,"Nicolae Ciucă explică alianța cu PSD: Viitorul glorios al PNL a fost prevăzut de Dinu Brătianu
Nicolae Ciucăa declarat, joi la Braşov, căPNLeste cea mai puternică forţă politică de la Braşov. Liderul liberalilor a amintit de vorbele lui Dinu Brătianu, „unul dintre cei mai vizionari lideri ai PNL”, din anul 1949 care a spus că „PNL va juca un rol mai important decât trecutul lui glorios”.
„PNL e cea mai puternică forţă politică în Braşov. Am crezut că vreţi spuneţi că dublaţi scorul pe Braşov. Asta da se poate. Vă dăm voie. Ziua de 9 mai e o zi cu dublă semnificaţie, este Ziua Europei, şi desigur este ziua în care începem campania electorală. Ziua Europei ne duce cu gândul la unul dintre cei mai vizionari lideri ai PNL, la Dinu Brătianu, care în ianuarie 1949, înainte să fi fost arestat de către regimul comunist, de altfel este arestat în 1950 şi moarea la trei-patru luni în închisoare de la Sighet. Dar în 1949 scria în felul următor: România, cea mai luminată ţară din estul Europei va juca un rol foarte important în relaţiile internaţionale economice şi politice ale Europei Unite. 1949, iar pentru ţară spunea, în plan intern, că România trebuie să chezăşuiască libertatea individuală şi iniţiativa particulară în toate domeniile. Referindu-se la Partidul Naţional Liberal a zis – PNL va juca un rol mai important decât trecutul lui glorios. Acesta este viitorul PNL prevăzut de Dinu Brătianu în 1949”, a afirmat Nicolae Ciucă, joi, la evenimentul de lansare a candidaţilor din judeţul Braşov pentru alegerile locale.",Positive
21,"George Scripcaru (PNL): Brașovul este blocat la nivelul administrației locale
George Scripcarua declarat că după o discuție avută cu liderul PNL, Nicolae Ciucă, s-a hotărât să revină în administrația publică și să candideze la Primăria Brașovului, precizând că orașul este „un dezastru”.
„Avem un dezastru, un blocaj, amatorism, 4 ani de zile de jaf din banul public, bătaie de joc la adresa brașovenilor. Domnul Ciucă m-a stârnit din starea în care eram, acum câteva luni, nici nu mă gândeam să candidez, după ce am discutat de câteva ori m-a convins că trebuie să revin în ceea ce înseamnă administrația publică locală și să candidez din parteaPNLși îi mulțumesc că m-a făcut să fac acest lucru”, a declarat Scripcaru.",Negative
22,"Marcel Ciolacu s-a întâlnit cu sute de membri PES: PSD e cel mai european partid din România
PSD e cel mai european partid din România! E mesajul clar transmis de liderul PSD, Marcel Ciolacu, după o întâlnire cu 200 de membri PES.
Partidul Social Democrat este cel mai european partid din România și singurul care are în interiorul său o structură responsabilă de dezbaterile și temele europene, transmite Marcel Ciolacu.",Negative
23,"Jill Biden i-a transmis un mesaj special lui Carmen Iohannis, după vizita la Casa Albă: Nu voi uita niciodată
„Carmen, a fost minunat să te avem laCasa Albă”, a postat soția președintelui americanJill Biden. „Carmen, a fost minunat să te avem la Casa Albă după ce, în urmă cu doi ani m-ai primit cu amabilitate în România”, a scris Jill Biden pe Facebook.
„Nu voi uita niciodată când am văzut cum tu și poporul român v-ați deschis brațele pentru refugiații care fugeau din Ucraina. A fost, și încă este, cu adevărat inspirațional”, a adăugat Prima Doamnă a Statelor Unite ale Americii.",Negative
24,"Ministrul Apărării, discuții cu pensionarii militari: Sindicaliștii vor protesta în stradă!
Ministrul apărării naționale,Angel Tîlvăr, s-a întâlnit joi, 9 mai, la sediul MApN, cu reprezentanți ai conducerii unor structuri asociative ale personalului militar în rezervă și în retragere.  La discuții au fost prezenți șeful Statului Major al Apărării, general Gheorghiță Vlad, secretarul de stat pentru relația cu Parlamentul și calitatea vieții personalului, Eduard Bachide, precum și șefi ai unor structuri centrale ale MApN.
Discuțiile au abordat principalele preocupări și subiecte de interes pentrurezerviștiimilitari, referitoare la corelarea componentei corespunzătoare soldei de grad din pensia militară cu solda de grad a militarilor în activitate, modul de stabilire a impozitului lunar pentru pensiile militare de stat, situația ajutoarelor stabilite la trecerea în rezervă sau direct în retragere, conform prevederilor Legii nr. 284 din 2010 privind salarizarea unitară a personalului plătit din fonduri publice, soluțiile pentru creșterea calității asistenței medicale pentru personalul militar în rezervă și în retragere și membrilor familiilor acestora, precum și modalitățile de îmbunătățire a dialogului între instituția militară și structurile asociative ale rezerviștilor.",Negative
25,"Ce mesaj i-a transmis președintele Iohannis lui Mike Johnson la întânirea pe care au avut-o
Klaus Iohannisa transmis, la întâlnirea cu președintele Camerei Reprezentanților din cadrul Congresului SUA,Mike Johnson, aprecierea pentru atenția arătată de legislativul american pentru cooperarea cu România și cu alte state europene în promovarea prosperității euroatlantice.
Cu ocazia vizitei de lucru în Statele Unite ale Americii, Klaus Iohannis s-a întâlnit joi, la Washington, D.C., cu Președintele Camerei Reprezentanților din cadrul Congresului SUA, Mike Johnson.",Negative
26,"Geoană vrea la prezidențiale! Mesaj clar pentru Ciolacu: Nu sunt interesat de niciun portofel european!
Secretarul general adjunct alNATO,Mircea Geoană, afirmă că nu este interesat de niciun „portofel” la nivel european şi nici de vreo altă funcţie la nivel internaţional. „Sunt interesat să pot să dau înapoi ţării mele într-o formă sau alta ceea ce am de oferit”, afirmă Geoană, precizând că „nu trebuie să fii neapărat preşedintele României ca să poţi să contribui”, scrie News.ro.
Replica sa vine după ce preşedintele PSD, premierul Marcel Ciolacu, a pronunţat „portofelu'”, în loc de „portofoliu”, referindu-se la funcţia de comisar european pentru apărare pe care ar putea-o negocia statul nostru la nivel european, liderul PSD răspunzând ironic când a fost întrebat dacă Mircea Geoană ar putea fi o opţiune luată în considerare pentru această poziţie.",Negative
27,"Breaking: Toate birourile electorale din Buzău au fost desființate de ÎCCJ cu numai câteva ore înainte de debutul campaniei
Înalta Curte de Casaţie şi Justiţiea desfiinţat, printr-o hotărâre definitivă, toate birourile electorale din judeţulBuzău, cu câteva ore înaintea startului campaniei electorale. Autorităţile aşteaptă clarificări de la Biroul Electoral Central pentru a şti dacă pot organiza o nouă tragere la sorţi pentru desemnarea de preşedinţi şi locţiitori ai birourilor electorale din judeţ şi reconstituirea acestora sau trebuie să mai aştepte, conform legii, încă două zile.
Cea de-a doua tragere la sorţi a preşedinţilor şi locţiitorilor birourilor electorale din judeţul Buzău a fost anulată. Astfel, după ce prima tragere la sorţi a fost anulată de Birul Electoral Central, cea de-a doua tragere la sorţi a fost contestată în instanţă, fiind anulată în primă fază de judecătorii Curţii de Apel Ploieşti, iar joi, Înalta Curte de Casaţie şi Justiţie a respins recursul formulat de Biroul Electoral Central la decizia Curţii de Apel Ploieşti, decizia rămânând astfel definitivă.",Negative
28,"Marcel Ciolacu a anunțat că mandatul său de premier se apropie de sfârșit: O să mă schimb cât de curând!
PremierulMarcel Ciolacua declarat, joi, că prim-miniştrii se schimbă unul pe am şi el este al zecelea în această serie. ”Şi eu o să mă schimb cât de curând, fiindcă mandatul este până la sfârşitul anului”, a mai spus şeful Executivului, el precizând că nimic nu se poate implementa în România fără cea mai stabilă structură a administraţiei româneşti, administraţia locală, primarii şi preşedinţii de CJ, care au un mandat stabil de 4 ani.
”Nimic nu se poate implementa înRomâniafără cea mai stabilă structură a administraţiei româneşti, administraţia locală. Fără primari, preşedinţii de Consilii Judeţene, care sunt stabili pentru 4 ani. Prim-miniştrii, aţi văzut, că se schimbă unul pe an, eu sunt al zecelea în această serie de prim-miniştri, şi eu o să mă schimb cât de curând, fiindcă mandatul este până la sfârşitul anului”, a declarat premierul Marcel Ciolacu, la Dezbaterea „Comunităţi europene pentru România”.",Negative
29,"Guvernul a aprobat participarea României la Programul OCDE privind evaluarea competenţelor adulţilor
Guvernul a fost aprobat în şedinţa de joi un memorandum privind participarea României la ProgramulOrganizaţiei pentru Cooperare şi Dezvoltare Economică (OCDE)de evaluare internaţională a competenţelor adulţilor (PIAAC) 2024 - 2029, a anunţatMinisterul Educaţiei.
",Negative
30,"România intră oficial în campania electorală pentru alegerile locale și europarlamentare
Campania electorală pentrualegerile localeșieuroparlamentaredin 9 iunie începe vineri, 10 mai, și se va încheia pe 8 iunie, la ora 7.00. Candidaţii şi partidele care i-au propus vor fi nevoiți să respecte reguli stricte, conform Mediafax.
2024 este primul an în care toate alegerile au loc în același an. Alegerile locale și cele parlamentare se organizează o dată la patru ani, în timp ce scrutinele pentru alegerea europarlamentarilor și președintelui României au loc din cinci în cinci ani.",Negative
31,"Toate actele românilor adunate într-un singur buton: Aplicația Unică a Statului, funcțională de la începutul lui 2025
Ministrul Cercetării, Inovării și Digitalizării,Bogdan Ivan,a declarat joi, la încheierea ședinței de Guvern, că primele servicii funcționale aleAplicației Unice a Statuluivor fi disponibile la începutul anului 2025.
",Positive
32,"România are o șansă unică să-și mărească influența economică în regiune: 'Geografia e de partea noastră'
Ministrul Economiei,Ştefan Radu Oprea, transmite joi că există o tendinţă pozitivă de creştere a numărului de companii noi înfiinţate iar numărul mare al înmatriculărilor elimină scenariile apocaliptice, că dispar companii din cauza creşterii taxelor sau a unor crize generale, conform Agerpres.
”Când studiem demografia raportăm numărul nou născuţilor la numărul celor care nu mai sunt. Aşa aflăm dacă populaţia creşte sau scade. Aşa aflăm dacă sunt necesare, spre exemplu, politici publice de încurajare a natalităţii. La fel ar trebui privită şi viaţa companiilor. Simpla idee enunţată că şi-au suspendat activitatea 6000 de întreprinderi în primul trimestru al acestui an nu este suficientă pentru o analiză corectă”, scrie ministrul Economiei pe Facebook.",Negative
33,"Circul s-a mutat la 'palat': Simion zice că a venit pentru cateheză, Becali spune că i-a cerut bani pentru campanie
George Simion, liderulAUR,a fost observat joi intrând înreședința lui Gigi Becalidin zona Primăverii. Imaginile surprinse îl arată pe Simion în timp ce pășește în curtea proprietății din București a patronului FCSB. La finalul vizitei, fiecare dintre ei a venit cu versiuni diferite ale motivului întâlnirii.
",Negative
34,"SURSE - Ciolacu vrea să-i sancționeze pe funcționarii neperformanți din PNRR
Premierul Marcel Ciolacu vrea să se aplice sancțiuni în cazul funcționarilor publici care lucrează pentru PNRR și care „nu dau randament”, spun joi surse guvernamentale.
„Sunt funcționari care primesc cu 50% în plus la salariu doar pentru că sunt angrenați în PNRR. Cioalcu a cerut să i se comunice câți oameni lucrează în domeniul PNRR la fiecare minister, dar și care este randamentul lor. Cine nu a făcut mai nimic nu o să mai primească bonusuri”, spun sursele citate.",Positive
35,"Geoană și-a început dansul prezidențial la Alba-Iulia
Secretarul general adjunct al NATO,Mircea Geoană, care ia în calcul să candideze din nou laalegerile prezidențiale, și-a manifestat joi regretul că nu există ”o discuţie mai robustă” pe teme europene înaintea alegerilor din acest an, spunând că este ”o ocazie pierdută pentru o dezbatere sănătoasă” pe aceste subiecte, potrivit News.ro.
”Indiferent de ce decizii şi din ce motive iau decizii liderii actuali ai României cu privire la calendarul electoral, eu ştiu un singur lucru: ca şi în istoria naţiunii noastre ştiu că românii şi româncele din ţară, din diasporă, îşi vor alege liderii cei mai buni care să dea la sfârşit de ciclu politic foarte lung tonul la muzică pentru un ciclu politic la fel de lung. Aş spune un singur lucru legat de alegeri: nu cred că am avut, în aceşti 35 de ani, de când organizăm alegeri mai mult sau mai puţin libere şi democratice în România, alegeri mai importante decât în acest an. Pentru că nu e vorba doar despre resincronizarea ciclului politic între mandatul preşedintelui şi al Parlamentului şi al viitorului Guvern şi al noilor primari şi aleşi locali, (...) este de fapt un început de nou ciclu de istorie, este începutul unui nou ciclu european, este un început de nou ciclu NATO, este un început de nou ciclu geo-politic şi de aceea miza alegerilor este uriaşă indiferent de persoanele care se vor înscrie sau nu în competiţie este că de fapt, noi acuma nu alegem un preşedinte pentru cinci sau zece ani de zile sau un Parlament pentru ani de zile sau un primar pentru patru ani de zile, ci de fapt modul în care noi așezăm destinul acuma, ne va influenţa viaţa noastră, a copiilor, a nepoţilor noştri pentru următorii 20-30 de ani. Deci este un început de nou ciclu istoric şi de aceea miza acestor alegeri este incredibil de mare şi sper un singur lucru: să vină cât mai multă lume la vot”, a mai afirmat Mircea Geoană.",Negative
36,"USR îi cere lui Iohannis să retrimită în Parlament legea prin care 'Ciucă şi Ciolacu au ridicat pragul până la care evazioniştii pot fura liniştiţi'
LegeaCiucă-Ciolacu prin care mariievazioniştisunt scăpaţi de răspundere penală dacă achităprejudiciulde sub un milion de euro nu trebuie să intre în vigoare, au transmis reprezentanţii USR care mai spun că este inacceptabil ca marea evaziune să primească undă verde de la PSD şi PNL, iar găurile uriaşe produse bugetului de stat să fie acoperite de contribuabilii cinstiţi, prin taxe şi impozite noi sau majorate. Astfel,USRîi cere preşedinteluiKlaus Iohannissă nu promulge legea, ci să o retrimită în Parlament spre a fi rediscutată, potrivit News.ro.
„Sper că, între zborurile cu avioane private de lux şi negocierile pentru un post la nivel european, preşedintele Iohannis va găsi timp să-şi exercite atribuţiile constituţionale şi în beneficiul ţării. Altfel, la încheierea celor 10 ani de mandat va lăsa o Românie sufocată de corupţie şi la cheremul evazioniştilor”, a declarat preşedintele USR Cătălin Drulă, potrivit comunicatului de presă al partidului..",Positive
